method,class_name,target_area_quartile,iou,dice
grabcut_point_box,bottle,Q3,0.703170625,0.810805625
grabcut_point_box,bottle,Q4,0.826494090909091,0.8697732727272727
grabcut_point_box,bus,Q1,0.8550697142857143,0.9209031428571429
grabcut_point_box,bus,Q2,0.759658125,0.85313675
grabcut_point_box,bus,Q3,0.826919,0.8984519333333334
grabcut_point_box,bus,Q4,0.8040377567567567,0.8856892972972974
grabcut_point_box,car,Q1,0.37937227777777777,0.44267477777777775
grabcut_point_box,car,Q2,0.7059068461538461,0.7933821538461537
grabcut_point_box,car,Q3,0.7757496153846154,0.8627866153846154
grabcut_point_box,car,Q4,0.7709214193548387,0.8624244516129033
grabcut_point_box,cat,Q1,0.7215014285714286,0.7826551428571429
grabcut_point_box,cat,Q2,0.6131826363636363,0.7258290909090909
grabcut_point_box,cat,Q3,0.7593128,0.8392647999999999
grabcut_point_box,cat,Q4,0.77928175,0.85748035
grabcut_point_box,chair,Q1,0.4389568888888889,0.532407111111111
grabcut_point_box,chair,Q2,0.6179373636363636,0.7450017272727273
grabcut_point_box,chair,Q3,0.6202646666666667,0.7354823333333333
grabcut_point_box,chair,Q4,0.7849416666666666,0.8715613333333333
grabcut_point_box,cow,Q1,0.6660398666666667,0.7510625999999999
grabcut_point_box,cow,Q2,0.7885198125,0.8783871249999999
grabcut_point_box,cow,Q3,0.7947531578947369,0.8799821578947368
grabcut_point_box,cow,Q4,0.8243423529411764,0.8960864117647058
grabcut_point_box,diningtable,Q1,0.426106125,0.5856097499999999
grabcut_point_box,diningtable,Q2,0.420735875,0.502480875
grabcut_point_box,diningtable,Q3,0.7303034,0.8322231
grabcut_point_box,diningtable,Q4,0.7758750588235294,0.8233080588235294
grabcut_point_box,dog,Q1,0.6920820833333333,0.7856043333333332
grabcut_point_box,dog,Q2,0.6584240384615385,0.7323100384615385
grabcut_point_box,dog,Q3,0.7498084285714286,0.8394318571428572
grabcut_point_box,dog,Q4,0.8373692,0.9025346285714286
grabcut_point_box,horse,Q1,0.53558425,0.619646625
grabcut_point_box,horse,Q2,0.6654040476190476,0.7783965714285714
grabcut_point_box,horse,Q3,0.7244691538461538,0.835705923076923
grabcut_point_box,horse,Q4,0.7974607499999999,0.8841460624999999
grabcut_point_box,motorbike,Q1,0.42942199999999997,0.5405074444444444
grabcut_point_box,motorbike,Q2,0.5748146956521739,0.6903194782608696
grabcut_point_box,motorbike,Q3,0.609586875,0.7257516875
grabcut_point_box,motorbike,Q4,0.6107330769230769,0.7083886923076924
grabcut_point_box,person,Q1,0.542104688888889,0.6511255777777778
grabcut_point_box,person,Q2,0.6725514833333333,0.7907107666666667
grabcut_point_box,person,Q3,0.6966194285714286,0.8022631746031746
grabcut_point_box,person,Q4,0.7575786885245901,0.8462660819672131
grabcut_point_box,pottedplant,Q1,0.45697446153846155,0.5375668461538462
grabcut_point_box,pottedplant,Q2,0.43354828571428566,0.5326405714285715
grabcut_point_box,pottedplant,Q3,0.775120125,0.862724625
grabcut_point_box,pottedplant,Q4,0.521394,0.5755629999999999
grabcut_point_box,sheep,Q1,0.6604756,0.73906925
grabcut_point_box,sheep,Q2,0.6944458666666667,0.7666956
grabcut_point_box,sheep,Q3,0.8475976666666667,0.9161531666666667
grabcut_point_box,sheep,Q4,0.7856505714285714,0.8698604285714285
grabcut_point_box,sofa,Q1,0.7692235714285715,0.8603005714285714
grabcut_point_box,sofa,Q2,0.7611729047619048,0.8416728095238094
grabcut_point_box,sofa,Q3,0.8250605238095238,0.8934487619047619
grabcut_point_box,sofa,Q4,0.725468125,0.7647695625
grabcut_point_box,train,Q1,0.6137859090909091,0.717978
grabcut_point_box,train,Q2,0.4317025833333334,0.5243999166666667
grabcut_point_box,train,Q3,0.74265509375,0.83403425
grabcut_point_box,train,Q4,0.7761008518518518,0.8624368148148148
